State;Rural/Urban;Pit latrine;Water closet;Other latrine;No latrine
STATE - ANDHRA PRADESH  28;Rural;809 705;1 093 148;397 842;10 375 523
STATE - ANDHRA PRADESH  28;Urban;630 179;1 960 525;667 807;915 128
STATE - ARUNACHAL PRADESH  12;Rural;39 513;9 940;28 418;86 630
STATE - ARUNACHAL PRADESH  12;Urban;15 434;13 499;12 903;6 278
STATE - ASSAM  18;Rural;1 979 800;363 519;170 485;1 706 369
STATE - ASSAM  18;Urban;188 702;421 092;66 741;38 650
STATE - BIHAR  10;Rural;755 668;526 492;479 431;10 898 416
STATE - BIHAR  10;Urban;150 391;574 602;196 767;400 823
STATE - CHHATTISGARH  22;Rural;59 659;61 434;52 901;3 185 084
STATE - CHHATTISGARH  22;Urban;40 676;306 495;68 034;374 235
STATE - GOA  30;Rural;26 636;29 316;11 911;72 892
STATE - GOA  30;Urban;25 948;53 831;16 080;42 602
STATE - GUJARAT  24;Rural;475 894;663 847;134 782;4 611 438
STATE - GUJARAT  24;Urban;366 410;2 334 150;326 408;731 060
STATE - HARYANA  06;Rural;502 207;51 845;149 461;1 750 950
STATE - HARYANA  06;Urban;284 714;333 201;249 377;207 887
STATE - HIMACHAL PRADESH  02;Rural;164 167;70 258;69 777;793 318
STATE - HIMACHAL PRADESH  02;Urban;17 166;71 153;22 197;32 597
STATE - JAMMU & KASHMIR  01;Rural;190 753;33 450;261 231;675 923
STATE - JAMMU & KASHMIR  01;Urban;78 751;103 602;156 815;51 243
STATE - JHARKHAND  20;Rural;80 582;84 693;84 517;3 552 620
STATE - JHARKHAND  20;Urban;78 521;437 172;191 197;353 288
STATE - KARNATAKA  29;Rural;632 514;311 500;217 245;5 513 914
STATE - KARNATAKA  29;Urban;736 283;1 595 616;343 868;881 193
STATE - KERALA  32;Rural;631 664;3 063 983;324 374;922 529
STATE - KERALA  32;Urban;183 557;1 235 462;101 728;131 909
STATE - MADHYA PRADESH  23;Rural;315 561;213 056;197 601;7 398 577
STATE - MADHYA PRADESH  23;Urban;332 437;1 148 702;412 089;901 630
STATE - MAHARASHTRA  27;Rural;1 124 458;585 470;292 008;8 991 687
STATE - MAHARASHTRA  27;Urban;571 036;3 580 166;535 330;3 382 994
STATE - MANIPUR  14;Rural;198 029;13 708;17 925;66 692
STATE - MANIPUR  14;Urban;67 834;20 815;7 904;4 749
STATE - MEGHALAYA  17;Rural;98 370;12 339;21 490;197 479
STATE - MEGHALAYA  17;Urban;30 005;39 435;13 505;7 623
STATE - MIZORAM  15;Rural;55 677;3 271;4 337;16 077
STATE - MIZORAM  15;Urban;44 477;28 170;7 353;1 604
STATE - NAGALAND  13;Rural;125 410;15 705;30 410;93 809
STATE - NAGALAND  13;Urban;27 000;13 255;22 539;3 922
STATE - ORISSA  21;Rural;209 472;223 290;90 510;6 259 607
STATE - ORISSA  21;Urban;103 055;468 113;77 767;438 313
STATE - PUNJAB  03;Rural;731 747;177 292;226 487;1 639 936
STATE - PUNJAB  03;Urban;305 813;692 949;290 145;200 787
STATE - RAJASTHAN  08;Rural;579 921;227 428;238 036;6 111 318
STATE - RAJASTHAN  08;Urban;397 910;886 868;378 726;522 087
STATE - SIKKIM  11;Rural;27 296;22 326;4 816;37 285
STATE - SIKKIM  11;Urban;251;11 322;373;1 069
STATE - TAMIL NADU  33;Rural;377 122;609 067;201 730;7 086 871
STATE - TAMIL NADU  33;Urban;658 193;2 682 181;454 527;2 103 935
STATE - TRIPURA  16;Rural;356 303;24 631;39 650;119 096
STATE - TRIPURA  16;Urban;54 806;52 763;11 051;3 723
STATE - UTTAR PRADESH  09;Rural;1 716 646;401 200;1 840 724;16 631 504
STATE - UTTAR PRADESH  09;Urban;934 442;1 653 335;1 549 079;1 033 671
STATE - UTTARANCHAL  05;Rural;192 541;85 770;99 685;818 161
STATE - UTTARANCHAL  05;Urban;104 258;159 255;75 478;51 173
STATE - WEST BENGAL  19;Rural;1 712 827;778 345;514 682;8 156 016
STATE - WEST BENGAL  19;Urban;1 042 595;2 513 682;307 646;690 122
UNION TERRITORY - ANDAMAN & NICOBAR ISLANDS  35;Rural;6 154;9 127;5 737;28 635
UNION TERRITORY - ANDAMAN & NICOBAR ISLANDS  35;Urban;1 578;13 739;2 589;5 503
UNION TERRITORY - CHANDIGARH  04;Rural;1 363;10 137;3 098;6 704
UNION TERRITORY - CHANDIGARH  04;Urban;1 849;127 789;14 950;35 988
UNION TERRITORY - DADRA & NAGAR HAVELI  26;Rural;74;5 538;67;27 104
UNION TERRITORY - DADRA & NAGAR HAVELI  26;Urban;388;8 010;241;2 551
UNION TERRITORY - DAMAN & DIU  25;Rural;2 069;4 468;537;15 017
UNION TERRITORY - DAMAN & DIU  25;Urban;419;7 418;179;4 235
UNION TERRITORY - DELHI  07;Rural;55 767;32 255;18 586;62 920
UNION TERRITORY - DELHI  07;Urban;362 087;1 129 239;393 275;500 020
UNION TERRITORY - LAKSHADWEEP  31;Rural;20;4 881;83;367
UNION TERRITORY - LAKSHADWEEP  31;Urban;30;2 729;499;631
UNION TERRITORY - PONDICHERRY  34;Rural;708;14 325;434;56 732
UNION TERRITORY - PONDICHERRY  34;Urban;2 994;81 057;4 692;47 713
